Тип,Підтип,Бенефіціар,Інвестор,Країна,Найменування суб'єкта госпощдарювання,Область,Район,"Потужність, МВт","Дата встановлення ""Зеленого тарифу""",Місяць,Квартал,Рік,Зелений Тариф ЕЦ,% надбавки,Тариф+ надбавка,Дата встановлення надбавки,Січ.17,Лют.17,Бер.17,Кві.17,Тра.17,Чер.17,Лип.17,Сер.17,Вер.17,Жов.17,Лис.17,Гру.17,Січ.18,Лют.18,Бер.18,Кві.18,Тра.18,Чер.18,Лип.18,Сер.18,Вер.18,Жов.18,Лис.18,Гру.18,Січ.19,Лют.19,Бер.19,Кві.19,Тра.19,Чер.19,Лип.19,Сер.19,1,2,3,4,5,6,7,8,9,10,11,12,Всього
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Атомвінд-Краматорськ""",Донецька ,,4.5,2019-05-28,5.0,2,2019.0,0.1018,0.1,0.112,2019-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.5348628488377,1333.0357911895303,1475.8610545312658,1149.6870531992236,1059.3081030731926,985.7129372366842,729.5866135975053,978.8900385821024,1025.1368739417992,1188.009954972531,1478.6569796735312,1691.521986669873,14843.942249516076
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Атомвінд-Краматорськ""",Донецька ,м.Краматорськ,4.5,2019-07-25,7.0,3,2019.0,0.1018,0.1,0.112,2019-07-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.5348628488377,1333.0357911895303,1475.8610545312658,1149.6870531992236,1059.3081030731926,985.7129372366842,729.5866135975053,978.8900385821024,1025.1368739417992,1188.009954972531,1478.6569796735312,1691.521986669873,14843.942249516076
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Атомвінд-Краматорськ""",Донецька ,м.Краматорськ,4.5,2019-07-30,7.0,3,2019.0,0.1018,0.1,0.112,2019-07-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.5348628488377,1333.0357911895303,1475.8610545312658,1149.6870531992236,1059.3081030731926,985.7129372366842,729.5866135975053,978.8900385821024,1025.1368739417992,1188.009954972531,1478.6569796735312,1691.521986669873,14843.942249516076
ВЕС,unknown,,,,"ТОВ ""Біоенергопродукт""",Тернопільська,Бережанський,4.0,2018-09-28,9.0,3,2018.0,0.0679,0.0,0.0679,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.203,0.369,0.48,0.435,0.176,0.097,0.086,0.187,1554.253211421189,1184.9207032795823,1311.8764929166805,1021.9440472881986,941.6072027317266,876.1892775437191,648.5214343088936,870.1244787396465,911.2327768371549,1056.008848864472,1314.3617597098055,1503.5750992621092,13194.615332903177
ВЕС,unknown,,,,"ТОВ ""ВІНД ЕНЕРДЖІ""",Івано-Франківська ,Долинський,0.6,2018-01-11,1.0,1,2018.0,0.0582,0.0,0.0582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.017,0.018,0.005,0.009,0.0,0.0,0.0,0.023,0.003,0.047,0.043,0.04,0.069,0.021,0.019,0.01,0.025,0.014,233.13798171317833,177.73810549193735,196.78147393750206,153.2916070932298,141.24108040975898,131.42839163155787,97.27821514633403,130.51867181094696,136.68491652557321,158.40132732967078,197.1542639564708,225.53626488931639,1979.1922999354765
ВЕС,unknown,Ахметов,ДТЕК ВДЕ,Україна,"ТОВ ""ВІНД ПАУЕР""",Запорізька  ,Приморський,199.875,2012-12-13,12.0,4,2012.0,0.1131,0.0,0.1131,0,51.851,53.158,68.70800000000001,44.89399999999998,35.491000000000014,29.840000000000003,37.87299999999999,59.88100000000003,61.978999999999985,58.31999999999999,61.42100000000005,70.65099999999995,75.366,57.327,71.869,54.952,40.576,30.416,25.723,53.01,57.121,63.575,68.663,65.703,71.459,57.759,59.905,53.621,38.234,40.051,25.102,40.945,77664.09015820254,59209.00639200164,65552.82850543037,51065.26661293217,47050.93491150097,43782.08296226271,32405.805420622528,43479.032547021714,45533.16281758158,52767.442166696586,65677.01418049933,75131.76824125354,659318.4349160057
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНДКРАФТ ТАВРІЯ""",Херсонська ,Новотроїцький,3.65,2017-12-27,12.0,4,2017.0,0.1018,0.0,0.1018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.988,15.306,12.937,9.942,7.329,6.694,13.51,12.24,16.331,17.079,19.146,20.828,23.544,32.292,18.371,18.609,20.271,12.776,19.16,1418.2560554218348,1081.240141742619,1197.087299786471,932.5239431504813,859.2165724927005,799.5227157586437,591.7758088068654,793.9885868499275,831.4999088639037,963.6080745888306,1199.3551057351974,1372.0122780766746,12040.08649127415
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНДКРАФТ ТАВРІЯ""",Херсонська ,Новотроїцький,40.15,2018-01-11,1.0,1,2018.0,0.1018,0.0,0.1018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.816609640186,11893.641559168807,13167.960297651178,10257.763374655295,9451.382297419706,8794.749873345081,6509.5338968755195,8733.874455349202,9146.498997502942,10599.688820477137,13192.906163087171,15092.135058843422,132440.95140401565
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНДКРАФТ ТАВРІЯ""",Херсонська ,Новотроїцький,28.8,2019-01-11,1.0,1,2019.0,0.1018,0.0,0.1018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11190.623122232562,8531.429063612994,9445.5107490001,7357.99714047503,6779.571859668433,6308.562798314778,4669.354327024034,6264.896246925455,6560.875993227514,7603.263711824197,9463.4046699106,10825.740714687188,95001.23039690287
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВ ""ВІНДКРАФТ УКРАЇНА""",Херсонська ,Скадовський,12.3,2014-03-20,3.0,1,2014.0,0.1131,0.0,0.1131,0,9.341,9.953000000000001,9.931999999999999,9.480000000000004,6.965999999999994,7.016000000000005,7.393999999999998,9.830000000000005,9.194999999999993,11.504999999999995,9.846000000000004,12.122,12.324,10.229,11.397,9.153,7.359,5.327,5.619,8.604,7.528,12.232,10.811,11.139,10.963,9.503,15.646,26.625,27.339,29.175,18.707,26.94,4779.328625120157,3643.6311625847156,4034.0202157187923,3142.4779454112113,2895.4421484000595,2694.2820284469367,1994.203410499848,2675.6327721244133,2802.0407887742513,3247.2272102582515,4041.662411107652,4623.493430230987,40573.44214867727
